Transaction_ID,Date,Amount,Category,Employee_ID,Emp_Name,Emp_Address,Vendor_ID,Vendor_Name,Vendor_Address,Risk_Score,Risk_Notes,DayOfWeek,Prev_Date,Prev_Amount,Leading_Digit
50674,2023-11-01,2804.4,Meals,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2002,Brown LLC,"PSC 8735, Box 0598, APO AP 53357",0,,2,,,2
50274,2023-08-15,3984.09,Supplies,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2005,Jackson-Austin,"1520 Eric Flats, North Jessica, MH 26567",0,,1,,,3
50253,2023-10-17,775.41,Meals,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2010,Ochoa Ltd,"01264 Oneill Key, Turnerville, MI 76713",0,,1,,,7
50662,2023-02-27,3683.22,Supplies,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2011,Hernandez-Gomez,"189 Edwards Road Apt. 221, West Vickie, IL 82481",0,,0,,,3
50508,2023-01-02,1953.32,Travel,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2031,Romero PLC,"4272 Ross Groves, Lake Kimberly, WY 78760",0,,0,,,1
50507,2023-06-06,1167.02,Supplies,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2032,Gallagher-Solis,"79701 Howard Port, East Marcfort, PW 11913",0,,1,,,1
50843,2023-09-28,3780.18,Meals,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2034,Riley Group,"1494 Porter Views, Danielhaven, DC 99204",0,,3,,,3
50386,2023-02-19,3147.19,Travel,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2045,Parker Group,"6826 Jennifer Drives, Robinton, AZ 71490",20,Weekend_High_Spend; ,6,,,3
50821,2023-03-26,516.64,Meals,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2052,"Levy, Owens and Greer","08044 Keith Loaf, North Robin, TN 23040",20,Weekend_High_Spend; ,6,,,5
50698,2023-04-24,405.79,Supplies,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2057,Taylor LLC,"36878 Cardenas Street Apt. 375, Haleburgh, OR 04364",0,,0,,,4
50348,2023-03-29,1233.24,Supplies,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2072,Smith-Williams,"0200 Chris Hill Suite 452, Lake Michelleberg, PR 01384",0,,2,,,1
50920,2023-05-02,2899.22,Supplies,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2079,"Gonzalez, Howard and Ramirez","49356 Miller Union, New Larry, AL 63821",0,,1,,,2
50799,2023-06-24,3915.77,Services,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2081,Wright Ltd,"2363 Michael Mews Suite 085, New Davidview, CT 52565",20,Weekend_High_Spend; ,5,,,3
50355,2023-08-20,1847.36,Meals,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2081,Wright Ltd,"2363 Michael Mews Suite 085, New Davidview, CT 52565",20,Weekend_High_Spend; ,6,2023-06-24,3915.77,1
50678,2023-12-25,1482.27,Services,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2084,Rasmussen-Hernandez,"94613 Charles Wall, Keithport, NY 43480",0,,0,,,1
50270,2023-05-06,2922.99,Meals,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2092,Cox and Sons,"5719 Brown Causeway Suite 900, North Michellestad, NY 17487",20,Weekend_High_Spend; ,5,,,2
50590,2023-12-04,1631.21,Software,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2093,Fisher Inc,"006 Austin Road, East Stevenhaven, MA 52384",0,,0,,,1
50407,2023-03-08,337.05,Travel,1000,Jason Brown,"02907 Jenkins Fort Suite 672, Smithside, FL 57896",2095,"Holmes, Harrison and Brooks","18293 Autumn Extension, Garzaton, AZ 05000",0,,2,,,3
50630,2023-10-28,980.09,Travel,1001,Scott Baker,"563 Lee Fort, Rogerville, CA 44492",2000,"King, Jones and Dougherty","42203 Amy Path, West Johnberg, ND 93713",30,Weekend_High_Spend; Benford_9; ,5,,,9
50135,2023-06-09,575.08,Travel,1001,Scott Baker,"563 Lee Fort, Rogerville, CA 44492",2001,Mata Ltd,"85969 Amanda Drives Apt. 749, North Rachel, IL 61624",0,,4,,,5
50870,2023-03-18,1500.32,Travel,1001,Scott Baker,"563 Lee Fort, Rogerville, CA 44492",2004,"Garcia, Robles and Mitchell","256 Jennifer Expressway, Paulburgh, TN 06283",20,Weekend_High_Spend; ,5,,,1
50806,2023-09-24,3288.76,Services,1001,Scott Baker,"563 Lee Fort, Rogerville, CA 44492",2004,"Garcia, Robles and Mitchell","256 Jennifer Expressway, Paulburgh, TN 06283",20,Weekend_High_Spend; ,6,2023-03-18,1500.32,3
